venue_id_ibdb,venue_id_wikidata,venue_name_ibdb,venue_address_ibdb_googlezip,venue_lifecycle_ibdb,venue_status_ibdb,file_id_hopper,event_title_hopper,event_title_ibdb,production_id_ibdb,production_id_wikidata,show_id_ibdb,show_id_wikidata,writer_name_ibdb,writer_id_ibdb,writer_id_wikidata,event_category_ibdb,event_year_hopper,event_month_hopper,event_date_hopper,scope_content_hopper,note_hopper
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0772,Maximillian,Juarez and Maximilian,7864,NULL,4955,NULL,Franz Werfel,5650,NULL,"Play, Drama, History, Original, Broadway",1926,11,10,Wednesday Evening - Balcony - $2.20 - J 109/110 - Edward Hopper handwritten play title verso.,NULL
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0778,Pygmelion,Pygmalion,8372,NULL,7310,NULL,George Bernard Shaw,5784,NULL,"Play, Comedy, Revival, Broadway",1926,12,23,Thursday Evening - Balcony - $1.10 - M 7/5 - Edward Hopper handwritten play title verso.,NULL
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0815,Doctors Dillema,The Doctor's Dilemma,10496,NULL,3111,NULL,George Bernard Shaw,5784,NULL,"Play, Revival, Broadway",1929,2,29,Wednesday Evening - Balcony - $2.75 - D 14/C14 - Edward Hopper handwritten play title verso.,NULL
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0870,Valley Forge,Valley Forge,10432,NULL,9051,NULL,Maxwell Anderson,7672,NULL,"Play, Drama, History, Original, Broadway",1935,1,15,Tuesday Evening - Orchestra - $2.20 - B 108/107 - Edward Hopper handwritten play title verso.,NULL
1412,NULL,Hampden's Theatre,"1887 Broadway, New York, NY 10023",DEMOLISHED,1977,EJHA.0757,Hamlet,Hamlet,8360,NULL,4172,NULL,William Shakespeare,8638,NULL,"Play, Tragedy, Revival, Broadway",1925,10,27,Tuesday Evening - Second Balcony - $1.10 - A 16/14 - Edward Hopper handwritten play title verso.,NULL
1197,NULL,Henry Miller's Theatre,"124 W 43rd St, New York, NY 10036",OPEN,Stephen Sondheim Theatre,EJHA.0819,Journey's End,Journey's End,10871,NULL,4946,NULL,R. C. Sherriff,8204,NULL,"Play, Drama, Original, Broadway",1929,5,23,Thursday Matinee - Second Balcony - $1.00 - A 105/104 - Edward Hopper handwritten play title verso.,NULL
1197,NULL,Henry Miller's Theatre,"124 W 43rd St, New York, NY 10036",OPEN,Stephen Sondheim Theatre,EJHA.0846,Good Fairy,The Good Fairy,11450,NULL,3993,NULL,Ferenc Molnár,5523,NULL,"Play, Comedy, Original, Broadway",1931,12,22,Tuesday Evening - Second Balcony - $1.00 - A 4/6/8/10 - Edward Hopper handwritten play title verso.,NULL
1197,NULL,Henry Miller's Theatre,"124 W 43rd St, New York, NY 10036",OPEN,Stephen Sondheim Theatre,EJHA.0854,The Late Christopher Bean,The Late Christopher Bean,11664,NULL,5277,NULL,NULL,NULL,NULL,"Play, Comedy, Original, Broadway",1932,11,14,Monday Evening - ?? - $1.10 - A 2/4 - Edward Hopper handwritten play title verso.,NULL
1197,NULL,Henry Miller's Theatre,"124 W 43rd St, New York, NY 10036",OPEN,Stephen Sondheim Theatre,EJHA.0879,Libel,Libel,12045,NULL,5366,NULL,Edward Wooll,13466,NULL,"Play, Drama, Original, Broadway",1936,2,20,Thursday Evening - Second Balcony - $1.10 - C 105/106 - Edward Hopper handwritten play title verso.,NULL
1216,NULL,John Golden Theatre,"202 W 58th St, New York, NY 10019",DEMOLISHED,1985,EJHA.0813,Strange Interlude,Strange Interlude,10565,NULL,8339,NULL,Eugene O'Neill,5463,NULL,"Play, Drama, Original, Broadway",1929,2,21,Thursday Evening - Balcony - $2.00 - 4 K 3/4 - Edward Hopper handwritten play title verso.,NULL
1220,NULL,Jolson's 59th Street Theatre,"932 7th Ave, New York, NY 10019",DEMOLISHED,1962,EJHA.0807,White Lilacs,White Lilacs,10672,NULL,9325,NULL,Harry B. Smith,6104,NULL,"Musical, Operetta, Romance, Original",1928,12,5,Wednesday Evening - Balcony - $2.00 - B AA 9/10 - Edward Hopper handwritten play title verso.,NULL
1235,NULL,Liberty Theatre,"234 W 42nd St, New York, NY 10036",CLOSED,1933,EJHA.0830,Volpone,Volpone,11074,NULL,9126,NULL,Ben Jonson,4464,NULL,"Play, Comedy, Revival, Broadway",1930,3,10,Monday Evening - 2nd Balcony - $1.00 - A 18/20 - Edward Hopper handwritten play title verso.,NULL
1240,NULL,Longacre Theatre,"220 W 48th St, New York, NY 10036",OPEN,Longacre Theatre,EJHA.0776,American Tragedy,American Tragedy,7865,NULL,1545,NULL,Patrick Kearney ,8017,NULL,"Play, Drama, Original, Broadway",1926,12,15,Wednesday Evening - Second Balcony - $1.10 - E 14/16 - Edward Hopper handwritten play title verso.,NULL
9821,NULL,Lyceum Theatre,"149 W 45th St, New York, NY 10036",OPEN,Lyceum Theatre,EJHA.0827,Berkeley Square,Berkeley Square,9821,NULL,1948,NULL,John L. Balderston,6842,NULL,"Play, Drama, Original, Broadway",1930,2,19,Wednesday Evening - Second Balcony - $1.00 - C 101/102 - Edward Hopper handwritten play title verso.,NULL
1182,NULL,Manhattan Theatre,"1697 Broadway, New York, NY 10019",OPEN,Ed Sullivan Theatre,EJHA.0880,Murder in the Cathedral,Murder in the Cathedral,12076,NULL,6345,NULL,T. S. Eliot,8808,NULL,"Play, Drama, Original",1936,4,11,Saturday Evening - Orchestra - $.55 - B 103/104 - Edward Hopper handwritten play title verso.,NULL
1256,NULL,Mansfield Theatre,"256 W 47th St, New York, NY 10036",OPEN,Brooks Atkinson Theatre,EJHA.0831,Green Pastures,The Green Pastures,11064,NULL,4101,NULL,Marc Connelly,7491,NULL,"Play, Play with music, Original, Broadway",1930,3,12,Wednesday Matinee - Balcony - $1.50 - D 118/120 - Edward Hopper handwritten play title verso.,NULL
1256,NULL,Mansfield Theatre,"256 W 47th St, New York, NY 10036",OPEN,Brooks Atkinson Theatre,EJHA.0875,On Stage,On Stage,12013,NULL,6736,NULL,B. M. Kaye,4406,NULL,"Play, Comedy, Original, Broadway",1935,11,13,Wednesday Evening - - $1.65 - A 106/108 - Edward Hopper handwritten play title verso.,NULL
1262,NULL,Martin Beck Theatre,"302 W 45th St, New York, NY 10036",OPEN,Al Hirschfeld Theatre,EJHA.0788,Spread Eagle,Spread Eagle,10270,NULL,8233,NULL,George S. Brooks,5852,NULL,"Play, Drama, Original, Broadway",1927,5,9,Monday Evening - Balcony - $1.65 - L 16/14 - Edward Hopper handwritten play title verso.,NULL
1262,NULL,Martin Beck Theatre,"302 W 45th St, New York, NY 10036",OPEN,Al Hirschfeld Theatre,EJHA.0811,Wings over Europe,Wings over Europe,10798,NULL,9404,NULL,Robert Nichols,79926,NULL,"Play, Original, Broadway",1929,1,21,Monday Evening - Balcony - $2.50 - D 110/111 - Edward Hopper handwritten play title verso.,NULL
1262,NULL,Martin Beck Theatre,"302 W 45th St, New York, NY 10036",OPEN,Al Hirschfeld Theatre,EJHA.0820,Porgy,Porgy,9424,NULL,7189,NULL,Dorothy Heyward,5115,NULL,"Play, Revival, Broadway",1929,10,9,Wednesday Evening - $2.50 - E 107/108 - Edward Hopper handwritten play title verso.,NULL
1262,NULL,Martin Beck Theatre,"302 W 45th St, New York, NY 10036",OPEN,Al Hirschfeld Theatre,EJHA.0836,NULL,The House of Connelly,11173,NULL,4528,NULL,Paul Green,8043,NULL,"Play, Drama, Original, Broadway",1931,1,26,Monday Evening - Balcony - $2.00 - K 26 - Edward Hopper handwritten play title verso.,NULL
1262,NULL,Theatre Masque,"252 W 45th St, New York, NY 10036",OPEN,John Golden Theatre,EJHA.0877,Russet Mantle,Russet Mantle,12059,NULL,7686,NULL,Lynn Riggs,7452,NULL,"Play, Comedy, Original",1936,NULL,NULL,Balcony - $1.00 - RA 8/9 - Edward Hopper handwritten play title verso.,NULL
1267,NULL,Maxine Elliott's Theatre,"109 W 39th St, New York, NY 10018",DEMOLISHED,1960,EJHA.0759,The Master Builder,The Master Builder,9940,NULL,5941,NULL,Henrik Ibsen,6218,NULL,"Play, Drama, Revival, Broadway",1925,12,15,Tuesday Matinee - Second Balcony - $1.10 - A 3/4 - Edward Hopper handwritten play title verso.,NULL
1267,NULL,Maxine Elliott's Theatre,"109 W 39th St, New York, NY 10018",DEMOLISHED,1960,EJHA.0825,Many Waters,Many Waters,10934,NULL,5844,NULL,Monckton Hoffe,7800,NULL,"Play, Drama, Original, Broadway",1929,11,19,Tuesday Evening - Second Balcony - $1.00 - RC A 4/3 - Edward Hopper handwritten play title verso.,NULL
1267,NULL,Maxine Elliott's Theatre,"109 W 39th St, New York, NY 10018",DEMOLISHED,1960,EJHA.0829,The Infinite Shoeblack,The Infinite Shoeblack,11053,NULL,4719,NULL,Norman MacOwan,7923,NULL,"Play, Drama, Original, Broadway",1930,3,5,Wednesday Evening - Second Balcony - $1.00 - Left C 4/5 - Edward Hopper handwritten play title verso.,NULL
1267,NULL,Maxine Elliott's Theatre,"109 W 39th St, New York, NY 10018",DEMOLISHED,1960,EJHA.0856,Success Story,Success Story,11630,NULL,8389,NULL,John Howard Lawson,6831,NULL,"Play, Original, Broadway",1932,12,14,Wednesday Evening - Second Balcony - $1.10 - Left A 8/7 - Edward Hopper handwritten play title verso.,NULL
1278,NULL,Morosco Theatre,"217 W 45th St, New York, NY 10036",DEMOLISHED,1982,EJHA.0767,Craig's Wife,Craig's Wife,8361,NULL,2804,NULL,George Kelly,5828,NULL,"Play, Drama, Original, Broadway",1926,4,28,Wednesday Evening - Balcony - H 7/5 - Edward Hopper handwritten play title verso.,NULL
1278,NULL,Morosco Theatre,"218 W 45th St, New York, NY 10036",DEMOLISHED,1983,EJHA.0818,Bird in Hand,Bird in Hand,10881,NULL,2040,NULL,John Drinkwater,6799,NULL,"Play, Comedy, Original, Broadway",1929,5,20,Monday Evening - Balcony - $1.00 - J 20/18 - Edward Hopper handwritten play title verso.,NULL
1286,NULL,National Theatre,"208 W 41st St, New York, NY 10036",OPEN,Nederlander Theatre,EJHA.0842,Grand Hotel,Grand Hotel,11262,NULL,10055,NULL,W.A. Drake,13544,NULL,"Play, Drama, Original, Broadway",1931,10,14,Wednesday Matinee - Box - $3.00 - A - Edward Hopper handwritten play title verso.,NULL
1286,NULL,National Theatre,"208 W 41st St, New York, NY 10036",OPEN,Nederlander Theatre,EJHA.0843,Grand Hotel,Grand Hotel,11262,NULL,10055,NULL,W.A. Drake,13544,NULL,"Play, Drama, Original, Broadway",1931,10,14,Wednesday Matinee - Balcony - $1.00 - L 9/7 - Edward Hopper handwritten play title verso.,NULL
1289,NULL,Neighborhood Playhouse,"466 Grand St, New York, NY 10002",OPEN,Neighborhood Playhouse,EJHA.0770,Grand St Follies,Grand Street Follies,10093,NULL,10058,NULL,Agnes Moran,3920,NULL,"Musical, Revue, Original, Broadway",1926,10,6,Tuesday Evening - Balcony - $1.50 - Center - D 107/106 - Edward Hopper handwritten play title verso.,NULL
1289,NULL,Neighborhood Playhouse,"466 Grand St, New York, NY 10002",OPEN,Neighborhood Playhouse,EJHA.0785,The Dybbuk,The Dybbuk,10177,NULL,3230,NULL,S. Ansky,8553,NULL,"Play, Drama, Revival, Broadway",1927,3,30,Tuesday Evening - Balcony - $1.50 - Center F 104/105 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0774,The Captive,The Captive,10133,NULL,2404,NULL,"Arthur Hornblow, Jr.",4296,NULL,"Play, Drama, Original, Broadway",1926,12,3,Friday Evening - Second Balcony - $1.10 - A 18/20 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0782,Set a Thief,Set a Thief,10241,NULL,7873,NULL,"Edward E. Paramore, Jr.",5272,NULL,"Play, Melodrama, Mystery, Original, Broadway",1927,2,25,Friday Evening - Second Balcony - $1.10 - E 10/12 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0787,Cardboard Lover,Her Cardboard Lover,10258,NULL,4332,NULL,Jacques Deval,6574,NULL,"Play, Original, Broadway",1927,5,3,Tuesday Evening - Second Balcony - $1.10 - D 7/5 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0798,Salvation,Salvation,10567,NULL,7726,NULL,Sidney Howard,8671,NULL,"Play, Original, Broadway",1928,2,8,Wednesday Evening - Balcony - $2.20 - F 101/102 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0817,Age of Irreverence,The Age of Innocence,10792,NULL,1416,NULL,Margaret Ayer Barnes,7505,NULL,"Play, Original, Broadway",1929,5,17,Friday Evening - Balcony - $1.50 - J 101/102 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0839,Barretts of Wimpole Street,The Barretts of Wimpole Street,11316,NULL,1851,NULL,Rudolf Besier,8513,NULL,"Play, Comedy, Original, Broadway",1931,5,19,Tuesday Evening - Second Balcony - $1.00 - A 13/11 - Edward Hopper handwritten play title verso.,NULL
1144,NULL,Empire Theatre,"1430 Broadway, New York, NY 10018",DEMOLISHED,1953,EJHA.0881,Hamlet (Gielgud),Hamlet,11205,NULL,4172,NULL,William Shakespeare,8638,NULL,"Play, Tragedy, Revival, Broadway",1936,11,24,Tuesday Evening - Orchestra - $3.30 - B 109/110 - Edward Hopper handwritten play title verso.,NULL
1342,NULL,Ritz Theatre,"219 W 48th St, New York, NY 10036",OPEN,Walter Kerr Theatre,EJHA.0781,This Woman Business,This Woman Business,10171,NULL,2209,NULL,Benn W. Levy,4483,NULL,"Play, Comedy, Original, Broadway",1927,1,10,Monday Evening - Second Balcony - $1.65 - C 1/3 - Edward Hopper handwritten play title verso.,NULL
1342,NULL,Ritz Theatre,"219 W 48th St, New York, NY 10036",OPEN,Walter Kerr Theatre,EJHA.0801,Excess Baggage,Excess Baggage,10534,NULL,3402,NULL,John McGowan,6863,NULL,"Play, Comedy, Play with music, Original, Broadway",1928,3,30,Friday Evening - Balcony - $2.20 - F 113/114 - Edward Hopper handwritten play title verso.,NULL
1346,NULL,Royale Theatre,"242 W 45th St, New York, NY 10036",OPEN,Bernard B. Jacobs Theatre,EJHA.0862,Both Your Houses,Both Your Houses,11732,NULL,2157,NULL,Maxwell Anderson,7672,NULL,"Play, Drama, Original, Broadway",1933,4,25,Tuesday Evening - Balcony - $2.20 - Left DD 1/2 - Edward Hopper handwritten play title verso.,NULL
1349,NULL,Selwyn Theatre,"227 W 42nd St, New York, NY 10036",OPEN,American Airlines Theatre,EJHA.0777,Constant Nymph,Constant Nymph,10172,NULL,2745,NULL,Margaret Kennedy,7509,NULL,"Play, Original, Broadway",1926,12,20,Monday Evening - Balcony - $1.10 - K 19/21 - Edward Hopper handwritten play title verso.,NULL
1349,NULL,Selwyn Theatre,"227 W 42nd St, New York, NY 10036",OPEN,American Airlines Theatre,EJHA.0861,Evensong,Evensong,11188,NULL,3386,NULL,Edward Knoblauch,5288,NULL,"Play, Original, Broadway",1933,2,10,Friday Evening - Balcony - $1.10 - H 16/14 - Edward Hopper handwritten play title verso.,NULL
1352,NULL,Shubert Theatre,"225 W 44th St, New York, NY 10036",OPEN,Schubert Theatre,EJHA.0838,Peter Ibbetson,Peter Ibbetson,11350,NULL,7046,NULL,John N. Raphael,9655,NULL,"Play, Drama, Fantasy, Revival, Broadway",1931,5,7,Thursday Evening - Mezzanine - $1.50 - Right J 18/16 - Edward Hopper handwritten play title verso.,NULL
